epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,3216.74,0.29431,0.60296,0.84113,0.98964,0.98787,0.9946,0.99101,0.17677,0.27831,0.78944,0.00013468,0.00013468,0.00013468
69,3249.74,0.28893,0.57744,0.84192,0.95532,0.9692,0.99391,0.99129,0.18123,0.33859,0.78679,0.00013072,0.00013072,0.00013072
70,3278.49,0.28845,0.57494,0.84182,0.98244,0.98367,0.99472,0.99236,0.17106,0.2956,0.78608,0.00012676,0.00012676,0.00012676
71,3307.67,0.28186,0.55004,0.84156,0.96002,0.97634,0.99171,0.98853,0.17834,0.32247,0.78337,0.0001228,0.0001228,0.0001228
72,3341.45,0.28605,0.55475,0.83672,0.96089,0.97537,0.9932,0.98876,0.2019,0.33671,0.78341,0.00011884,0.00011884,0.00011884
73,3391.81,0.28292,0.53351,0.83502,0.972,0.98597,0.99227,0.98866,0.17166,0.2878,0.78433,0.00011488,0.00011488,0.00011488
74,3489.94,0.285,0.54284,0.83759,0.9597,0.97662,0.9945,0.99247,0.1684,0.30893,0.78216,0.00011092,0.00011092,0.00011092
75,3560.9,0.27366,0.51776,0.83717,0.97769,0.98403,0.9945,0.99242,0.17572,0.29705,0.78266,0.00010696,0.00010696,0.00010696
76,3625.15,0.28283,0.55894,0.83678,0.9859,0.9929,0.99465,0.99287,0.17131,0.25085,0.78096,0.000103,0.000103,0.000103
77,3679.7,0.27265,0.50985,0.83557,0.98877,0.9916,0.9943,0.99324,0.16692,0.25258,0.78058,9.904e-05,9.904e-05,9.904e-05
78,3721.04,0.27056,0.50776,0.82905,0.98127,0.98803,0.99472,0.99313,0.16127,0.26376,0.7785,9.508e-05,9.508e-05,9.508e-05
79,3752.41,0.26981,0.52775,0.83072,0.90366,0.91967,0.98853,0.98705,0.16607,0.42417,0.78066,9.112e-05,9.112e-05,9.112e-05
80,3782.49,0.26376,0.51292,0.82678,0.98529,0.99195,0.99468,0.99306,0.16044,0.24496,0.78071,8.716e-05,8.716e-05,8.716e-05
81,3811.6,0.25991,0.49573,0.8326,0.97464,0.98033,0.99306,0.99054,0.16279,0.2687,0.78125,8.32e-05,8.32e-05,8.32e-05
82,3834.85,0.27082,0.49992,0.83636,0.9892,0.99418,0.99459,0.99291,0.16275,0.24282,0.77901,7.924e-05,7.924e-05,7.924e-05
83,3856.1,0.2576,0.50601,0.82706,0.98603,0.98483,0.99452,0.99313,0.15899,0.24467,0.77808,7.528e-05,7.528e-05,7.528e-05
84,3886.1,0.26848,0.50989,0.83221,0.99122,0.99373,0.99468,0.99265,0.15717,0.2316,0.7783,7.132e-05,7.132e-05,7.132e-05
85,3919.86,0.25794,0.48664,0.83508,0.97711,0.98429,0.99434,0.99227,0.15682,0.26079,0.77816,6.736e-05,6.736e-05,6.736e-05
86,3955.56,0.25379,0.49444,0.83113,0.98509,0.99342,0.99479,0.99233,0.15728,0.23811,0.77836,6.34e-05,6.34e-05,6.34e-05
87,3984.78,0.25876,0.48767,0.83416,0.98497,0.98879,0.9948,0.99262,0.14894,0.24116,0.78053,5.944e-05,5.944e-05,5.944e-05
88,4019.58,0.2552,0.49225,0.83261,0.97295,0.9946,0.99437,0.99125,0.15235,0.23953,0.77842,5.548e-05,5.548e-05,5.548e-05
89,4092.12,0.25284,0.46892,0.82978,0.98896,0.99392,0.9948,0.99297,0.15051,0.23012,0.77772,5.152e-05,5.152e-05,5.152e-05
90,4120.86,0.24004,0.46102,0.82518,0.98601,0.9922,0.99464,0.99333,0.14597,0.23254,0.7781,4.756e-05,4.756e-05,4.756e-05
